,Unnamed: 0,mukey,OBJECTID_1,tk0_5a,tk5_20a,tk20_50a,tk50_100a,tk100_150a,tk150_999a,tk0_20a,tk0_30a,tk0_100a,tk0_150a,tk0_999a,musumcpcta,soc0_5,soc5_20,soc20_50,soc50_100,soc100_150,soc150_999,soc0_20,soc0_30,soc0_100,soc0_150,soc0_999,tk0_5s,tk5_20s,tk20_50s,tk50_100s,tk100_150s,tk150_999s,tk0_20s,tk0_30s,tk0_100s,tk0_150s,tk0_999s,musumcpcts,nccpi2cs,nccpi2sg,nccpi2co,nccpi2all,pctearthmc,rootznemc,rootznaws,droughty,pwsl1pomu,musumcpct
0,0,1601875,55642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,100,0,0.0,1,0,100
1,1,1601876,55643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,100,0,0.0,1,0,100
2,2,1601877,55584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,,0,0,100
3,3,1601878,55622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,,0,999,100
4,4,1601879,55652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,100
5,5,1601880,55666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,999,100
6,6,2517305,55664,5.0,15.0,30.0,50.0,50.0,53.0,20.0,30.0,100.0,150.0,203.0,100,1830.3900146,5491.1699219,6079.1801758,4289.7700195,1945.0100098,1063.7299805,7321.5600586,9458.8300781,17690.5,19635.5195313,20699.25,5.0,15.0,30.0,50.0,50.0,53.0,20.0,30.0,100.0,150.0,203.0,100,0.86,0.53,0.0,0.86,78,150,297.0,0,4,100
7,7,2517306,55665,5.0,15.0,30.0,50.0,50.0,53.0,20.0,30.0,100.0,150.0,203.0,100,1870.1899414,5610.5600586,6357.9399414,4368.3398438,2017.9799805,1078.1300049,7480.75,9656.8896484,18207.0195313,20225.0,21303.1308594,5.0,15.0,30.0,50.0,50.0,53.0,20.0,30.0,100.0,150.0,203.0,100,0.86,0.53,0.0,0.86,85,150,297.0,0,5,100
8,8,2735968,55580,5.0,15.0,30.0,50.0,50.0,48.0,20.0,30.0,100.0,150.0,198.0,100,2365.0200195,6108.2001953,7926.4501953,10147.9404297,2076.1899414,955.039978,8473.2197266,11171.6699219,26547.6191406,28623.8105469,29578.8496094,5.0,15.0,30.0,50.0,50.0,48.0,20.0,30.0,100.0,150.0,198.0,100,0.37,0.43,0.0,0.43,90,150,299.0,0,95,100
9,9,409076,55592,5.0,15.0,30.0,50.0,50.0,2.0,20.0,30.0,100.0,150.0,152.0,100,2184.2800293,6552.8398438,13105.6796875,21841.1191406,11393.5800781,266.5700073,8737.1201172,13105.6796875,43683.9101563,55077.5,55344.0585938,5.0,15.0,30.0,50.0,50.0,2.0,20.0,30.0,100.0,150.0,152.0,100,0.95,0.44,0.0,0.95,90,150,315.0,0,95,100
10,10,409077,55587,5.0,15.0,30.0,50.0,50.0,2.0,20.0,30.0,100.0,150.0,152.0,100,1461.8199463,4385.4501953,3902.0900879,2918.4899902,1208.9899902,47.75,5847.2700195,7236.3701172,12667.8603516,13876.8496094,13924.5996094,5.0,15.0,30.0,50.0,50.0,2.0,20.0,30.0,100.0,150.0,152.0,100,0.78,0.49,0.0,0.78,95,150,206.0,0,0,100
11,11,409078,55588,5.0,15.0,30.0,50.0,50.0,4.5500002,20.0,30.0,100.0,150.0,154.5500031,100,1230.9100342,3692.7199707,3917.5500488,2892.6599121,1204.4699707,103.9700012,4923.6298828,6304.9101563,11733.8398438,12938.2998047,13042.2695313,5.0,15.0,30.0,50.0,50.0,4.5500002,20.0,30.0,100.0,150.0,154.5500031,100,0.77,0.48,0.0,0.77,90,150,,0,0,100
12,12,409079,55589,5.0,15.0,30.0,50.0,50.0,4.5500002,20.0,30.0,100.0,150.0,154.5500031,100,1018.039978,3034.2299805,1354.6300049,1437.7900391,1204.4699707,103.9700012,4052.2800293,4509.0097656,6844.6899414,8049.1601563,8153.1298828,5.0,15.0,30.0,50.0,50.0,4.5500002,20.0,30.0,100.0,150.0,154.5500031,100,0.63,0.37,0.0,0.63,90,150,206.0,0,0,100
13,13,409080,55590,5.0,15.0,30.0,50.0,50.0,3.53,20.0,30.0,100.0,150.0,153.5299988,100,1013.960022,2940.5900879,1280.1600342,1370.4300537,1164.2299805,79.8000031,3954.5600586,4386.5698242,6605.1401367,7769.3701172,7849.1699219,5.0,14.8000002,29.3999996,49.0,49.0,3.49,19.7999992,29.6000004,98.1999969,147.1999969,150.6900024,100,0.6,0.35,0.0,0.6,85,150,206.0,0,0,100
14,14,409081,55641,5.0,15.0,30.0,50.0,50.0,2.0,20.0,30.0,100.0,150.0,152.0,100,1152.8699951,2401.75,2105.0500488,3446.5600586,2411.8300781,81.5100021,3554.6201172,4256.2998047,9106.2304688,11518.0595703,11599.5703125,5.0,15.0,30.0,50.0,50.0,2.0,20.0,30.0,100.0,150.0,152.0,100,0.7,0.4,0.0,0.7,85,150,318.0,0,10,100
15,15,409082,55596,5.0,15.0,30.0,50.0,50.0,53.0,20.0,30.0,100.0,150.0,203.0,100,1814.6099854,5443.8398438,5575.7797852,2295.3000488,938.0999756,994.3900146,7258.4501953,9274.6904297,15129.5195313,16067.6298828,17062.0097656,5.0,15.0,30.0,50.0,50.0,53.0,20.0,30.0,100.0,150.0,203.0,100,0.75,0.46,0.0,0.75,95,150,165.0,0,0,100
16,16,409083,55586,5.0,15.0,30.0,50.0,50.0,50.4500008,20.0,30.0,100.0,150.0,200.4499969,100,2152.9199219,6186.5498047,8834.3896484,2909.2700195,1467.4100342,878.8300171,8339.4599609,11284.2597656,20083.1308594,21550.5292969,22429.3691406,5.0,15.0,30.0,50.0,50.0,50.4500008,20.0,30.0,100.0,150.0,200.4499969,100,0.69,0.48,0.0,0.69,95,150,,0,95,100
17,17,409084,55581,5.0,15.0,30.0,50.0,50.0,50.0,20.0,30.0,100.0,150.0,200.0,100,1149.1800537,3443.4599609,5538.1401367,5665.3701172,4460.7998047,2878.3000488,4592.6401367,6549.1899414,15796.1503906,20256.9394531,23135.25,5.0,15.0,30.0,50.0,50.0,50.0,20.0,30.0,100.0,150.0,200.0,100,0.79,0.54,0.0,0.79,90,150,287.0,0,8,100
18,18,409085,55582,5.0,15.0,30.0,50.0,50.0,50.0,20.0,30.0,100.0,150.0,200.0,100,1093.0300293,3261.0900879,5251.3598633,5149.8398438,3983.4099121,2641.8200684,4354.1298828,6223.1098633,14755.3398438,18738.75,21380.5703125,5.0,15.0,30.0,50.0,50.0,50.0,20.0,30.0,100.0,150.0,200.0,100,0.78,0.53,0.0,0.78,90,150,287.0,0,0,100
19,19,409086,55661,5.0,15.0,30.0,48.2999992,47.5,1.9,20.0,30.0,98.3000031,145.8000031,147.6999969,100,1358.8499756,3879.4799805,7379.1899414,9687.75,7152.3999023,75.8000031,5238.3300781,7704.5898438,22305.2792969,29457.6796875,29533.4707031,5.0,14.5,28.5,45.7999992,45.0,1.8,19.5,29.0,93.8000031,138.8000031,140.6000061,100,0.89,0.55,0.0,0.89,85,150,289.0,0,0,100
20,20,409087,55662,5.0,15.0,30.0,50.0,50.0,4.5500002,20.0,30.0,100.0,150.0,154.5500031,100,1391.1099854,4030.6398926,7798.9101563,10441.3896484,7839.8198242,327.4400024,5421.7597656,8061.2900391,23662.0605469,31501.8808594,31829.3203125,5.0,14.5,28.5,47.5,47.5,4.4499998,19.5,29.0,95.5,143.0,147.4499969,100,0.88,0.54,0.0,0.88,90,150,289.0,0,0,100
21,21,409088,55663,5.0,15.0,30.0,50.0,50.0,2.0,20.0,30.0,100.0,150.0,152.0,100,1360.0699463,4080.2199707,8160.4399414,11092.2998047,8365.5400391,87.2099991,5440.2900391,8160.4399414,24693.0195313,33058.5703125,33145.78125,5.0,15.0,30.0,50.0,50.0,2.0,20.0,30.0,100.0,150.0,152.0,100,0.84,0.52,0.0,0.84,100,150,289.0,0,0,100
22,22,409089,55604,5.0,15.0,30.0,50.0,50.0,47.9000015,20.0,30.0,100.0,150.0,197.8999939,100,829.1699829,2344.8000488,4321.0600586,2287.0200195,1055.0899658,1057.3900146,3173.9699707,4629.5800781,9782.0498047,10837.1396484,11894.5195313,5.0,14.5,28.5,47.5,47.5,47.7999992,19.5,29.0,95.5,143.0,190.8000031,100,0.6,0.38,0.0,0.6,90,150,,0,0,100
23,23,409090,55605,5.0,15.0,30.0,50.0,50.0,47.9000015,20.0,30.0,100.0,150.0,197.8999939,100,628.5900269,1671.3399658,1644.1800537,2071.6799316,1055.0899658,1057.3900146,2299.9299316,2843.1000977,6015.7797852,7070.8798828,8128.2597656,5.0,14.5,28.5,47.5,47.5,47.7999992,19.5,29.0,95.5,143.0,190.8000031,100,0.49,0.29,0.0,0.49,90,150,150.0,1,0,100
24,24,409091,55606,5.0,15.0,30.0,50.0,50.0,47.9000015,20.0,30.0,100.0,150.0,197.8999939,100,628.5900269,1671.3399658,1644.1800537,2071.6799316,1055.0899658,1057.3900146,2299.9299316,2843.1000977,6015.7797852,7070.8798828,8128.2597656,5.0,14.5,28.5,47.5,47.5,47.7999992,19.5,29.0,95.5,143.0,190.8000031,100,0.47,0.28,0.0,0.47,90,150,150.0,1,0,100
25,25,409092,55579,5.0,15.0,30.0,50.0,50.0,47.5999985,20.0,30.0,100.0,150.0,197.6000061,100,2286.0700684,5889.8999023,7739.5200195,11078.2001953,3340.1101074,1308.8499756,8175.9702148,10755.8095703,26993.6894531,30333.8105469,31642.6601563,5.0,15.0,30.0,50.0,50.0,47.5999985,20.0,30.0,100.0,150.0,197.6000061,100,0.63,0.43,0.0,0.63,90,150,299.0,0,95,100
26,26,409093,55615,5.0,15.0,30.0,50.0,50.0,50.4500008,20.0,30.0,100.0,150.0,200.4499969,100,1512.6400146,4361.6000977,6997.5400391,4171.3500977,1345.3199463,972.9000244,5874.2402344,8546.8798828,17043.1308594,18388.4492188,19361.3496094,5.0,15.0,30.0,50.0,50.0,50.4500008,20.0,30.0,100.0,150.0,200.4499969,100,0.73,0.64,0.0,0.73,95,150,305.0,0,0,100
27,27,409094,55616,5.0,15.0,30.0,50.0,50.0,47.5999985,20.0,30.0,100.0,150.0,197.6000061,100,1512.6400146,4361.6000977,6997.5400391,4171.3500977,1345.3199463,918.5100098,5874.2402344,8546.8798828,17043.1308594,18388.4492188,19306.9609375,5.0,15.0,30.0,50.0,50.0,47.5999985,20.0,30.0,100.0,150.0,197.6000061,100,0.73,0.61,0.0,0.73,95,150,,0,0,100
28,28,409095,55617,5.0,15.0,30.0,50.0,50.0,2.0,20.0,30.0,100.0,150.0,152.0,100,1183.4899902,3546.1799316,3982.3500977,2906.4199219,1102.6199951,44.0999985,4729.6601563,6513.5297852,11618.4404297,12721.0595703,12765.1699219,5.0,14.5,28.5,47.5,47.5,1.9,19.5,29.0,95.5,143.0,144.8999939,100,0.65,0.44,0.0,0.65,95,86,174.0,0,0,100
29,29,409096,55618,5.0,15.0,30.0,50.0,50.0,2.0,20.0,30.0,100.0,150.0,152.0,100,1183.4899902,3546.1799316,3982.3500977,2906.4199219,1102.6199951,44.0999985,4729.6601563,6513.5297852,11618.4404297,12721.0595703,12765.1699219,5.0,14.5,28.5,47.5,47.5,1.9,19.5,29.0,95.5,143.0,144.8999939,100,0.64,0.42,0.0,0.64,95,86,174.0,0,0,100
30,30,409097,55619,5.0,15.0,30.0,50.0,50.0,2.0,20.0,30.0,100.0,150.0,152.0,100,1484.8000488,4268.7998047,6786.2900391,3781.8898926,1119.8699951,46.4300003,5753.6000977,8352.0,16321.7802734,17441.6503906,17488.0800781,5.0,15.0,30.0,50.0,50.0,2.0,20.0,30.0,100.0,150.0,152.0,100,0.81,0.59,0.0,0.81,100,114,237.0,0,0,100
31,31,409098,55620,5.0,15.0,30.0,50.0,50.0,4.5500002,20.0,30.0,100.0,150.0,154.5500031,100,1445.75,4152.7099609,6526.5297852,3635.7399902,1106.8299561,89.6299973,5598.4501953,8096.2099609,15760.7304688,16867.5605469,16957.1894531,5.0,15.0,30.0,50.0,50.0,4.5500002,20.0,30.0,100.0,150.0,154.5500031,100,0.8,0.58,0.0,0.8,95,114,237.0,0,0,100
32,32,409099,55583,5.0,15.0,30.0,50.0,50.0,4.5500002,20.0,30.0,100.0,150.0,154.5500031,100,753.8800049,2261.6298828,2582.8100586,2569.2800293,1905.3199463,186.5,3015.5100098,4018.3200684,8167.6098633,10072.9199219,10259.4296875,5.0,15.0,30.0,50.0,50.0,4.5500002,20.0,30.0,100.0,150.0,154.5500031,100,0.4,0.22,0.0,0.4,85,150,,1,10,100
33,33,409100,55654,5.0,15.0,30.0,50.0,50.0,4.4000001,20.0,30.0,100.0,150.0,154.3999939,100,2308.4699707,6925.4199219,8741.4296875,5527.7597656,4094.3000488,211.4400024,9233.8896484,13795.8095703,23503.0898438,27597.3808594,27808.8300781,5.0,15.0,30.0,50.0,50.0,4.4000001,20.0,30.0,100.0,150.0,154.3999939,100,0.72,0.38,0.0,0.72,95,150,281.0,0,95,100
34,34,409101,55659,5.0,15.0,30.0,50.0,50.0,2.0,20.0,30.0,100.0,150.0,152.0,100,1385.7900391,2953.7399902,2140.0300293,2146.9799805,2146.9799805,85.8799973,4339.5200195,5620.7597656,8626.5302734,10773.5097656,10859.3896484,5.0,15.0,30.0,50.0,50.0,2.0,20.0,30.0,100.0,150.0,152.0,100,0.63,0.35,0.0,0.63,90,150,254.0,0,0,100
35,35,409102,55660,5.0,15.0,30.0,50.0,50.0,2.0,20.0,30.0,100.0,150.0,152.0,100,1385.7900391,2953.7399902,2140.0300293,2146.9799805,2146.9799805,85.8799973,4339.5200195,5620.7597656,8626.5302734,10773.5097656,10859.3896484,5.0,15.0,30.0,50.0,50.0,2.0,20.0,30.0,100.0,150.0,152.0,100,0.6,0.33,0.0,0.6,90,150,254.0,0,0,100
36,36,409103,55656,5.0,15.0,30.0,50.0,50.0,2.0,20.0,30.0,100.0,150.0,152.0,100,1385.7900391,2953.7399902,2140.0300293,2146.9799805,2146.9799805,85.8799973,4339.5200195,5620.7597656,8626.5302734,10773.5097656,10859.3896484,5.0,15.0,30.0,50.0,50.0,2.0,20.0,30.0,100.0,150.0,152.0,100,0.57,0.31,0.0,0.57,90,150,254.0,0,0,100
37,37,409104,55657,5.0,15.0,30.0,50.0,50.0,2.0,20.0,30.0,100.0,150.0,152.0,100,1385.7900391,2953.7399902,2140.0300293,2146.9799805,2146.9799805,85.8799973,4339.5200195,5620.7597656,8626.5302734,10773.5097656,10859.3896484,5.0,15.0,30.0,50.0,50.0,2.0,20.0,30.0,100.0,150.0,152.0,100,0.45,0.2,0.0,0.45,90,150,254.0,0,0,100
38,38,409105,55658,5.0,15.0,30.0,50.0,50.0,4.5500002,20.0,30.0,100.0,150.0,154.5500031,100,1416.2800293,3093.6599121,2304.0800781,2378.4499512,2378.4499512,147.7200012,4509.9399414,5862.6401367,9192.4697266,11570.9101563,11718.6298828,5.0,15.0,30.0,50.0,50.0,4.5500002,20.0,30.0,100.0,150.0,154.5500031,100,0.14,0.08,0.0,0.14,90,150,254.0,0,0,100
